"TOA5","Science Centre AWS","CR1000","88296","CR1000.Std.31.08","CPU:Vasi_Science Centre AWS.CR1","64103","Daily"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","WS_ms_Max","AirTC_Min","AirTC_Max","RH_Min","RH_Max","SlrW_Max","SlrW_Std","CUV5_W_Max","CUV5_W_Std","CUV5_MJ_Tot","Rain_mm_Tot","T107_C_Min","T107_C_Avg","VW_Avg"
"TS","RN","meters/second","Deg","Deg","meters/second","Deg C","Deg C","%","%","W/m^2","W/m^2","W/m^2","W/m^2","MJ/m^2","mm","Deg C","Deg C",""
"","","WVc","WVc","WVc","Max","Min","Max","Min","Max","Max","Std","Max","Std","Tot","Tot","Min","Avg","Avg"
"2021-08-12 00:00:00",426,1.73,351.5,57.4,7.475,8.39,23.95,48.26,99.2,913,252.3,34.79,10.9,0.673,0,9.1,17.7,0.031
"2021-08-13 00:00:00",427,1.816,345.4,85.3,6.575,13.83,34.21,24.22,91.8,671.7,242,27,9.17,0.558,0,12.93,21.64,0.03
"2021-08-14 00:00:00",428,1.696,190.5,43.81,6.275,12.46,18.95,71.68,99.3,186.9,39.22,10.62,2.326,0.136,4.318,12.79,14.34,0.03
"2021-08-15 00:00:00",429,0.855,190.2,40.61,3.875,11.97,20.3,67.57,100,960,227.9,35.91,9.81,0.507,3.302,12.29,15.37,0.037
"2021-08-16 00:00:00",430,0.65,1.769,41.16,4.925,13.67,22.75,58,100,892,213,36.81,9.43,0.5,0,13.52,17.41,0.05
"2021-08-17 00:00:00",431,1.083,7.137,32.78,5.9,13.62,24.49,60.09,98.9,950,219,38.23,10.07,0.636,0,13.16,18.82,0.05
"2021-08-18 00:00:00",432,1.858,357.4,29.74,7.175,14.17,25.91,53.88,100,930,266,35.8,11.45,0.71,0,13.88,20.1,0.048
"2021-08-19 00:00:00",433,1.441,357.9,31.01,4.775,16.05,31.63,31.72,100,683.8,250.2,28.11,9.96,0.609,0,15.07,22.31,0.045
"2021-08-20 00:00:00",434,1.354,149.1,51,5.6,17.25,25.89,64.32,98.6,870,259.5,34.38,10.96,0.658,0,16.72,21.06,0.043
"2021-08-21 00:00:00",435,1.116,155.4,40.82,4.7,16.67,24.54,54.27,94.8,955,264.9,38.53,12.15,0.748,0,16.87,20.44,0.041
"2021-08-22 00:00:00",436,0.675,20.38,21.71,5.375,16.35,24.64,68.09,100,1028,173.5,41.97,8.14,0.45,0,16.15,19.93,0.039
"2021-08-23 00:00:00",437,1.301,174.7,42.2,5.3,16.37,22.38,64.91,100,836,129.7,31.45,6.16,0.33,0,16.65,19.25,0.037
"2021-08-24 00:00:00",438,1.419,10.85,72.54,5.975,14.35,23.97,61.16,96.3,876,209.5,31.45,8.56,0.499,0,14.05,19.76,0.036
"2021-08-25 00:00:00",439,1.758,345.6,73.18,6.65,17.97,30.46,42.33,97,871,208.3,27.91,8.17,0.468,0,18.03,22.8,0.035
"2021-08-26 00:00:00",440,0.986,145.1,49.18,4.55,14.63,26.14,44.39,100,792.6,290.6,36.41,12.97,0.805,0,14.11,20.49,0.034
"2021-08-27 00:00:00",441,1.57,359.8,31.22,6.875,14.88,27.07,66.06,100,875,216.9,29.73,8.76,0.519,0,14.34,21.7,0.032
"2021-08-28 00:00:00",442,2.344,2.899,41.81,8,18.85,33.77,26.85,100,849,272.5,30.95,10.69,0.651,0,18.09,23.85,0.031
"2021-08-29 00:00:00",443,2.421,176.1,46.73,8.3,9.76,21.56,75.8,97.8,471.9,89.3,20.63,4.284,0.236,1.27,10.01,16.19,0.03
"2021-08-30 00:00:00",444,1.785,178.8,42.73,7.1,10.06,21.85,44.11,96.6,1081,320.4,45.52,14.75,0.938,0,9.76,15.58,0.03
"2021-08-31 00:00:00",445,1.54,351.6,43.19,7.1,8.38,26.93,36.57,97.7,830,309.1,38.33,13.76,0.867,0,8.33,18.08,0.03
"2021-09-01 00:00:00",446,1.288,359.9,52.29,5.6,14.19,33.23,21.21,100,836,311.5,38.03,13.71,0.867,0,12.17,21.91,0.03
"2021-09-02 00:00:00",447,1.506,147,38.91,6.05,15.16,24.29,61.36,96.5,1046,184.6,41.67,8.96,0.542,0,14.71,20.43,0.03
