"TOA5","Science Centre AWS","CR1000","88296","CR1000.Std.31.08","CPU:Vasi_Science Centre AWS.CR1","64103","Daily"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","WS_ms_Max","AirTC_Min","AirTC_Max","RH_Min","RH_Max","SlrW_Max","SlrW_Std","CUV5_W_Max","CUV5_W_Std","CUV5_MJ_Tot","Rain_mm_Tot","T107_C_Min","T107_C_Avg","VW_Avg"
"TS","RN","meters/second","Deg","Deg","meters/second","Deg C","Deg C","%","%","W/m^2","W/m^2","W/m^2","W/m^2","MJ/m^2","mm","Deg C","Deg C",""
"","","WVc","WVc","WVc","Max","Min","Max","Min","Max","Max","Std","Max","Std","Tot","Tot","Min","Avg","Avg"
"2021-09-14 00:00:00",459,1.554,18.64,42.03,7.175,14.33,29.17,42.69,100,895,334.6,41.87,15.28,0.977,0,14.86,22.33,0.058
"2021-09-15 00:00:00",460,1.553,8.89,27.58,6.425,14.53,31.22,41.68,100,868,323.2,37.62,13.57,0.87,0,15.58,23.14,0.056
"2021-09-16 00:00:00",461,1.729,159.3,67.9,6.575,17.52,26.92,63.01,98.9,1012,291.1,39.34,12.3,0.759,0,17.01,21.84,0.053
"2021-09-17 00:00:00",462,0.86,173.9,46.17,3.575,17.46,23.07,72.26,100,442.7,99.3,22.25,5.304,0.304,9.14,18.03,20.17,0.055
"2021-09-18 00:00:00",463,1.736,177.1,45.62,6.65,14.65,22.53,64.63,100,1337,262.6,59.27,13.14,0.747,2.286,14.95,18.35,0.082
"2021-09-19 00:00:00",464,1.014,165.1,41.29,4.925,11.15,23.53,43.59,97.7,1399,316.3,60.88,15.01,0.976,0,12.04,17.66,0.073
"2021-09-20 00:00:00",465,2.034,4.809,34.02,7.7,11.94,25.16,45.29,98.7,954,323.5,41.87,14.51,0.934,0,12.04,19.97,0.069
"2021-09-21 00:00:00",466,2.465,6.377,48.88,7.7,17.39,26.17,51.27,98,920,241.3,35.09,9.9,0.586,0.254,16.8,21.37,0.065
"2021-09-22 00:00:00",467,1.881,168.6,44.7,7.1,15.58,22.01,61.05,97.1,1066,118.6,47.84,6.47,0.373,0.762,15.34,19.16,0.063
"2021-09-23 00:00:00",468,1.117,174.1,43.23,5.9,11.03,24.51,42.35,96.9,1290,330.9,55.82,15.69,1.019,0,11.72,18.45,0.061
"2021-09-24 00:00:00",469,1.391,13.39,36.46,8.08,11.13,25.11,47.42,98.1,1227,347.1,53.2,16.03,1.046,0,11.77,19.76,0.059
"2021-09-25 00:00:00",470,1.641,8.88,35.49,7.025,14.37,28.4,46.16,99.1,928,347,43.49,15.9,1.049,0,14.56,21.51,0.056
"2021-09-26 00:00:00",471,1.341,13.25,32.65,7.1,13.68,29.39,54.91,100,1007,330.4,44.09,14.24,0.928,0,14.2,22.14,0.053
"2021-09-27 00:00:00",472,1.314,17.8,51.76,6.2,16.67,32.86,38.77,100,954,359.1,44.19,16.29,1.09,0,16.94,24,0.05
"2021-09-28 00:00:00",473,1.615,11.02,30.39,7.55,17.89,32.38,43.04,100,932,351.8,43.49,15.93,1.029,0,17.11,25.12,0.045
"2021-09-29 00:00:00",474,1.187,151.7,39.86,5.45,17.33,27.34,63.91,97.4,1133,279.5,42.78,11.96,0.794,0,16.28,22.72,0.041
"2021-09-30 00:00:00",475,1.177,146.7,36.98,5.825,19.31,26.74,62.14,97.9,1113,188.3,39.24,8.34,0.486,0,19.64,22.66,0.039
"2021-10-01 00:00:00",476,1.47,89.4,48.32,5.45,17.71,25.52,55.75,97.7,1164,215.1,43.29,9.87,0.618,0.508,18.08,22.11,0.037
"2021-10-02 00:00:00",477,1.484,339.9,32.92,6.8,18.04,27.09,62.09,96.9,750.8,143.7,28.92,6.562,0.373,0,18.45,22.93,0.035
"2021-10-03 00:00:00",478,1.021,28.08,72.93,7.475,18.51,26.33,69.46,100,1046,139.1,39.85,6.651,0.318,51.05,18.45,21.6,0.06
"2021-10-04 00:00:00",479,1.288,183,41.52,5.375,15.2,19.02,94.6,100,604,84.8,32.68,4.914,0.292,11.18,15.58,17.47,0.088
"2021-10-05 00:00:00",480,1.051,141.9,52.58,4.925,14.66,22.59,55.73,98.6,987,163.4,42.48,9.03,0.599,0,15.15,19.01,0.075
"2021-10-06 00:00:00",481,1.332,54.13,46.04,5.975,16.83,24.21,65.93,94.7,1390,194.4,60.27,10.28,0.677,0,17.17,21.44,0.069
"2021-10-07 00:00:00",482,0.679,95.8,25.57,4.925,18.79,22.85,86,100,1157,148.9,50.77,8.52,0.52,5.334,18.63,20.57,0.073
"2021-10-08 00:00:00",483,1.488,41.62,26.12,5.525,18.88,24.12,67.87,96.6,1021,149.8,40.25,7.619,0.483,0,19.15,21.14,0.077
"2021-10-09 00:00:00",484,2.357,22.68,35.55,8.15,19.91,27.07,61.17,91.9,1323,277,56.43,13.16,0.775,0,19.65,22.75,0.071
"2021-10-10 00:00:00",485,2.298,33.65,74.59,7.625,19.48,32.06,44.45,94,983,374.2,47.33,17.59,1.182,0,18.86,24.8,0.066
"2021-10-11 00:00:00",486,1.756,166.6,41.62,6.725,15.5,24.43,61.75,97.7,1470,264.5,66.56,13.43,0.796,1.27,15.64,19.66,0.062
"2021-10-12 00:00:00",487,1.203,67.1,78.14,6.275,13.63,23.82,43.02,89.7,1402,375.8,59.26,17.59,1.118,0,13.6,19.34,0.06
"2021-10-13 00:00:00",488,1.671,5.868,29.28,6.725,11.59,28.9,41.21,98.5,1150,374.6,50.67,16.85,1.159,0,12.24,20.98,0.057
