"TOA5","Science Centre AWS","CR1000","88296","CR1000.Std.31.08","CPU:Vasi_Science Centre AWS.CR1","64103","Daily"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","WS_ms_Max","AirTC_Min","AirTC_Max","RH_Min","RH_Max","SlrW_Max","SlrW_Std","CUV5_W_Max","CUV5_W_Std","CUV5_MJ_Tot","Rain_mm_Tot","T107_C_Min","T107_C_Avg","VW_Avg"
"TS","RN","meters/second","Deg","Deg","meters/second","Deg C","Deg C","%","%","W/m^2","W/m^2","W/m^2","W/m^2","MJ/m^2","mm","Deg C","Deg C",""
"","","WVc","WVc","WVc","Max","Min","Max","Min","Max","Max","Std","Max","Std","Tot","Tot","Min","Avg","Avg"
"2021-01-13 00:00:00",215,1.611,67.73,27.66,5.825,23.91,32.59,49.66,96.2,1105,424.6,55.12,21,0.785,0,24.84,30.59,0.039
"2021-01-14 00:00:00",216,0.914,102.7,39.5,5.975,22.47,33.57,47.28,97.6,1389,396.6,64.73,19.97,1.371,0,23.1,29.18,0.037
"2021-01-15 00:00:00",217,1.085,74.92,35.48,6.425,21.45,31.95,52.13,100,1200,428.9,57.55,21.23,1.516,0,22.42,28.88,0.034
"2021-01-16 00:00:00",218,1.722,22.13,33.41,7.1,21.24,34.13,56.16,100,1335,407.5,61.89,19.84,1.427,0,22.46,30.06,0.032
"2021-01-17 00:00:00",219,1.483,20.65,88.2,6.575,24.42,39.77,38.53,98.4,1255,364,56.84,17.57,0.949,1.27,24.57,28.99,0.031
"2021-01-18 00:00:00",220,1.259,168.3,47.45,5.45,23.31,30.18,62.95,97.4,1484,239.1,67.56,13.14,0.731,0,23.41,26.27,0.03
"2021-01-19 00:00:00",221,1.091,161.2,47.97,5.3,21.23,31,55.12,94.5,1565,342.3,73.02,16.82,1.179,0,21.38,26.66,0.03
"2021-01-20 00:00:00",222,1.123,52.4,36.16,6.8,19.54,31.66,46.69,96.1,1362,439.9,62.3,21.13,1.529,0,20.03,27.74,0.029
"2021-01-21 00:00:00",223,1.266,181.4,50.7,5.825,19.5,32.76,55.81,99.1,1473,334.6,63.93,15.44,1.046,0,20,26.85,0.029
"2021-01-22 00:00:00",224,1.211,152.1,57.76,5.225,21,32.61,55.85,99.5,1689,358.4,69.78,17.39,1.16,0,21.81,27.73,0.028
"2021-01-23 00:00:00",225,1.006,47.88,36.95,6.275,19.18,32.46,54.29,100,1443,418,63.11,19.22,1.359,0,19.22,27.98,0.028
"2021-01-24 00:00:00",226,1.39,26.7,43.81,6.875,20.12,34.09,56.73,98.1,1404,396.5,62.3,19.3,1.346,0,20.15,29.7,0.028
"2021-01-25 00:00:00",227,1.661,79.84,61.05,9.35,22.55,33.69,66.98,99.6,1459,259.4,65.94,13.2,0.802,14.73,23.02,28.66,0.038
"2021-01-26 00:00:00",228,1.534,187,45.07,6.5,19.76,25.38,85.7,100,975,141.3,44.31,8.18,0.423,57.4,20.04,22.43,0.094
"2021-01-27 00:00:00",229,1.264,5.169,49.66,5.225,20.97,32.28,65.68,99.4,1505,336.2,69.99,16.89,1.172,0,21.49,27.48,0.072
"2021-01-28 00:00:00",230,1.751,7.041,33.14,6.05,24.24,35.98,50.38,100,1288,416.2,59.87,20.21,1.407,0,24.55,30.07,0.065
"2021-01-29 00:00:00",231,1.405,193.7,43.64,5.45,21.17,26.9,83.1,100,695.6,149.2,37.63,8.94,0.595,14.22,21.85,23.81,0.082
"2021-01-30 00:00:00",232,0.922,171.2,51.14,4.7,21.08,31.6,60.1,98,1448,396.4,66.25,19.38,1.369,0,21.44,27.32,0.075
"2021-01-31 00:00:00",233,0.705,69.33,45.69,5.3,22.87,32.53,62.34,99.8,1356,332.2,62.7,16.79,1.14,0,23.59,28.52,0.068
"2021-02-01 00:00:00",234,1.369,6.51,34.03,5.45,24.68,34.17,58.02,99.7,1384,400.6,63.41,19.72,1.268,0,25.56,29.93,0.063
"2021-02-02 00:00:00",235,1.645,79.27,97.7,6.275,19.11,35.2,57.29,99,1547,320.8,71.73,16.36,0.94,32,19.52,27,0.068
"2021-02-03 00:00:00",236,1.343,174.2,48.27,5.225,19.25,25.92,71.04,98.2,1041,163,48.56,9.24,0.52,1.27,19.6,22.37,0.083
