"TOA5","Science Centre AWS","CR1000","88296","CR1000.Std.31.08","CPU:Vasi_Science Centre AWS.CR1","64103","Daily"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","WS_ms_Max","AirTC_Min","AirTC_Max","RH_Min","RH_Max","SlrW_Max","SlrW_Std","CUV5_W_Max","CUV5_W_Std","CUV5_MJ_Tot","Rain_mm_Tot","T107_C_Min","T107_C_Avg","VW_Avg"
"TS","RN","meters/second","Deg","Deg","meters/second","Deg C","Deg C","%","%","W/m^2","W/m^2","W/m^2","W/m^2","MJ/m^2","mm","Deg C","Deg C",""
"","","WVc","WVc","WVc","Max","Min","Max","Min","Max","Max","Std","Max","Std","Tot","Tot","Min","Avg","Avg"
"2021-06-17 00:00:00",370,1.483,348.1,31.62,7.25,14.98,26.99,38.84,100,822,208.9,27.1,8.24,0.48,0,14.95,19.87,0.06
"2021-06-18 00:00:00",371,0.785,311.4,78.73,4.475,15.29,27.03,49.59,99.7,591.4,214.3,25.89,9.02,0.532,0,14.17,19.85,0.058
"2021-06-19 00:00:00",372,0.961,175.6,40.03,5.075,16.61,25.5,56.13,100,739,218.6,28.72,9.57,0.542,4.318,16.55,19.66,0.057
"2021-06-20 00:00:00",373,0.515,159.1,42.46,3.65,12.56,24.82,49.62,99.7,784.8,226.2,31.15,10.36,0.614,1.27,12.67,18.7,0.065
"2021-06-21 00:00:00",374,0.532,357.2,59.28,4.85,11.33,24.39,62.83,100,880,202.7,34.39,9.23,0.542,0,11.44,17.48,0.065
"2021-06-22 00:00:00",375,0.62,340.2,39.85,4.85,12.53,25.2,43.49,100,638.3,233.3,29.33,10.55,0.629,0,12.09,17.71,0.063
"2021-06-23 00:00:00",376,0.919,350,27.7,5.3,10.75,25.69,55.24,100,617.9,225.4,27.71,9.74,0.578,0,10.15,17.47,0.061
"2021-06-24 00:00:00",377,0.667,337.6,28.47,3.5,13.82,28.12,32.59,99.8,590.4,214,24.88,8.77,0.518,0,13.27,18.62,0.059
"2021-06-25 00:00:00",378,0.559,170.3,43.89,4.625,11.49,24.74,61.5,100,712.5,205.9,24.98,8.16,0.483,0,10.71,17.92,0.058
"2021-06-26 00:00:00",379,0.546,345.6,48.94,4.775,11.98,29.01,40.15,100,592.2,214.4,25.89,9.2,0.543,0,12.56,19.08,0.056
"2021-06-27 00:00:00",380,0.77,198.4,58.55,6.05,12.51,28.04,30.91,100,615.8,223.6,26.9,9.48,0.568,0,11.78,18.31,0.055
"2021-06-28 00:00:00",381,0.748,101.1,54.32,4.85,13.37,25.22,52,98.2,786.6,219,31.45,9.49,0.552,0,12.37,17.89,0.053
"2021-06-29 00:00:00",382,1.595,340.9,29.52,6.125,12.34,29.42,44.09,100,622.6,226.6,27.1,9.6,0.565,0,11.45,20.43,0.051
"2021-06-30 00:00:00",383,0.792,47.68,72.51,4.25,13.09,27.61,43.4,100,592.4,215.4,25.18,8.79,0.525,0,13.46,19.8,0.05
"2021-07-01 00:00:00",384,0.867,353.3,30.79,3.8,13.01,32.56,33.36,100,635.7,226.4,27.31,9.5,0.552,0,12.05,20.52,0.048
"2021-07-02 00:00:00",385,0.641,259,52.07,4.625,10.69,33.27,18.86,100,693.9,211.5,28.11,8.71,0.511,0,10.31,19.94,0.045
"2021-07-03 00:00:00",386,0.833,349.1,57.96,5.45,10.98,26.47,50.08,100,649.6,224.2,27.31,9.51,0.568,0,10.65,18.46,0.043
"2021-07-04 00:00:00",387,1.717,350.6,28.43,6.275,15.29,30.62,36.01,100,637.2,225.6,25.69,8.95,0.532,0,14.4,21.95,0.041
"2021-07-05 00:00:00",388,1.327,191.7,62.25,7.1,12.24,26.08,55.56,98.9,744.3,222.2,28.32,9.18,0.532,0,9.91,18.99,0.039
"2021-07-06 00:00:00",389,0.823,189.9,35.86,4.1,14.88,20.14,89.9,100,790.1,99.1,29.95,5.03,0.273,7.874,15.12,17.32,0.041
"2021-07-07 00:00:00",390,0.724,145.2,69.96,4.175,13.78,23.68,58.62,100,745.3,200.7,29.94,8.87,0.504,0,13.36,17.32,0.057
"2021-07-08 00:00:00",391,0.816,0.525,25.73,5.225,12.42,24.79,51.6,100,643.8,221.3,27.51,9.49,0.562,0,12.09,17.42,0.057
