dID,Lock,QA,File,Date_time,Method,Location,Borehole,Datum_ESPG,X,Y,H_masl,Well_depth_m,Log,Notes
34,TRUE,TRUE,level_file,2019-05-14 14:22:00,DWAS survey,VASI,BUKHOSINI,4326,32.71279,-27.1622,64.809,,FALSE,
35,TRUE,TRUE,level_file,2017-11-14 15:01:00,DWAS survey,VASI,BURNT LOWER,4326,32.70508,-27.1843,53.490,4.17,FALSE,
36,TRUE,TRUE,level_file,2017-07-05 14:00:00,DWAS survey,VASI,BURNT UPPER,4326,32.70471,-27.18427,56.248,6.19,FALSE,
37,TRUE,TRUE,level_file,2017-07-05 14:00:00,DWAS survey,VASI,EUCALYPTUS,4326,32.71494,-27.17745,56.156,10,FALSE,
38,FALSE,FALSE,level_file,,GPS-SRTM - coords copied from HPV HIGHER,VASI,HPV HIGHER,4326,32.7169,-27.17463,,,FALSE,To be checked with a line level.
39,TRUE,TRUE,level_file,2017-07-05 15:00:00,DWAS survey,VASI,HPV HIGHER,4326,32.7169,-27.17463,53.980,,FALSE,
40,TRUE,TRUE,level_file,2017-07-05 15:00:00,DWAS survey,VASI,HPV LOWER,4326,32.7179,-27.17466,50.778,4.32,FALSE,
41,TRUE,TRUE,level_file,2017-07-05 15:00:00,DWAS survey,VASI,HPV MID,4326,32.71746,-27.17463,51.466,,FALSE,
42,TRUE,TRUE,level_file,2017-07-05 15:00:00,DWAS survey,VASI,SIYADLA BRIDGE,4326,32.78699,-27.08107,10.301,,FALSE,Reference point south westerly of bridge. Needs calibration with water level measurements.
43,TRUE,TRUE,level_file,2017-07-05 15:00:00,DWAS survey,VASI,QUARRY,4326,32.71238,-27.17252,73.107,,FALSE,
44,TRUE,TRUE,level_file,2017-07-05 15:00:00,DWAS survey,VASI,SCIENCE CENTRE,4326,32.71429,-27.16408,56.979,,FALSE,
45,TRUE,TRUE,level_file,2019-10-30 11:34:00,GPS-SRTM,WESTERN SHORE,WES01,4326,32.36906333,-28.16743,62.000,42.28,TRUE,
46,TRUE,TRUE,level_file,2019-10-30 11:35:00,GPS-SRTM,WESTERN SHORE,WES02,4326,32.37180667,-28.16839167,60.000,27.78,FALSE,
47,TRUE,TRUE,level_file,2019-10-30 11:35:00,GPS-SRTM,WESTERN SHORE,WES03,4326,32.379655,-28.17137667,64.000,32.5,FALSE,
48,TRUE,TRUE,level_file,2019-10-30 11:35:00,GPS-SRTM,WESTERN SHORE,WES04,4326,32.41243,-28.1844,39.000,29.87,FALSE,
49,TRUE,TRUE,level_file,2019-09-30 11:06:00,GPS-SRTM,EASTERN SHORE,C2 PLG,4326,32.51606,-28.17401,17.000,12.46,FALSE,Due to the unkown datum of the first EKZNW survey data the height above sea level was adjusted with SRTM data.
50,TRUE,TRUE,level_file,2019-09-30 11:11:00,GPS-SRTM,EASTERN SHORE,C5 EKZNW,4326,32.4742,-28.17024,29.000,4.05,FALSE,Due to the unkown datum of the first EKZNW survey data the height above sea level was adjusted with SRTM data.
51,TRUE,TRUE,level_file,2019-09-30 11:20:00,GPS-SRTM,EASTERN SHORE,D3 PLG,4326,32.507,-28.11767,16.000,16.35,FALSE,Due to the unkown datum of the first EKZNW survey data the height above sea level was adjusted with SRTM data.
52,TRUE,TRUE,baro_file,2019-09-30 11:21:00,GPS-SRTM,EASTERN SHORE,D5 EKZNW,4326,32.48437,-28.11501,14.000,3.29,FALSE,Due to the unkown datum of the first EKZNW survey data the height above sea level was adjusted with SRTM data.
53,TRUE,TRUE,level_file,2017-08-17 14:00:00,DWAS survey,VASI,BURNT UPPER,4326,32.70471,-27.18427,56.248,6.15,FALSE,
54,TRUE,TRUE,level_file,2019-01-15 17:00:00,DWAS survey,VASI,BURNT UPPER,4326,32.70471,-27.18427,56.248,6.14,FALSE,
55,TRUE,TRUE,level_file,2017-10-11 16:20:00,Dumpy measurement relative to DWAS survey point,SIBHAYI,SOUTH,4326,32.69785,-27.41813,9.105,,FALSE,
56,TRUE,TRUE,level_file,2020-12-04 12:00:00,DWAS survey,SIBHAYI,SG01A,4326,32.69815815,-27.42090856,20.900,,FALSE,8 mm hole in concrete [DWAS name is DW02]
57,TRUE,TRUE,level_file,2020-12-04 12:00:00,DWAS survey,SIBHAYI,SG01B,4326,32.69809969,-27.42090862,20.780,,FALSE,8 mm hole in concrete borehole [DWAS name is SBB2]
58,TRUE,TRUE,level_file,2020-02-14 17:00:00,GPS-Google Earth,SODWANA,BAY LODGE,4326,32.661,-27.50457,14.000,8.7,FALSE,
59,TRUE,TRUE,level_file,2020-02-14 17:00:00,GPS-Google Earth,SIBHAYI,CF01A,4326,32.7094,-27.41656,27.698,30,FALSE,"Well depth is > 30 m (dipper meter is only 30 m). DWAS survey from temporary point across the road (too much tree cover in the way to survey directly to the boreholes). [ DWAS name for this borehole is ""Level Dune BH's]."
60,TRUE,TRUE,level_file,2020-12-04 12:00:00,DWAS survey,MSELENI,MABASA_DWAS,4326,32.56673,-27.4095,68.130,14.72,FALSE,DWAS survey to metal lock loop borehole. DWAS name is BH12.
61,TRUE,TRUE,level_file,2020-12-04 12:00:00,DWAS survey,MBAZWANA,MB01,4326,32.63238756,-27.45294923,53.080,27.4,FALSE,DWAS survey to metal lock loop borehole. DWAS name is BH10.
62,TRUE,TRUE,level_file,2020-02-14 17:00:00,GPS-Google Earth,SIBHAYI,CF01B,4326,32.70939,-27.41655,27.932,30,FALSE,"Well depth is > 30 m (dipper meter is only 30 m). DWAS survey from temporary point across the road (too much tree cover in the way to survey directly to the boreholes). [ DWAS name for this borehole is ""Level Dune BH's]."
63,TRUE,TRUE,level_file,2019-01-16 15:55:00,SAEON - borehole height difference.,SIBHAYI,SOUTH,4326,32.69785,-27.41813,8.421,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
,FALSE,FALSE,,,,,,,,,,,FALSE,
