,Orig_FileName,Location_uz,Borehole_uz,SN,Instrument_type,Model,SDT,Location,Borehole,b__special
1,SIBHAYI_BARO_CAMP_20180613-20200116.xle,SIBHAYI,BARO_CAMP,2042643,LT_EDGE,M1.5,20180613,SIBHAYI,BARO_CAMP,
2,CF01B-201912.xle,Sibayi Coastal Forest,CF01B,2095357,LT_EDGE,M10,20191115,SIBHAYI,CF,
