"TOA5","88296","CR1000","88296","CR1000.Std.31.08","CPU:Vasi_Science Centre AWS.CR1","64103","Daily"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","WS_ms_Max","AirTC_Min","AirTC_Max","RH_Min","RH_Max","SlrW_Max","SlrW_Std","CUV5_W_Max","CUV5_W_Std","CUV5_MJ_Tot","Rain_mm_Tot","T107_C_Min","T107_C_Avg","VW_Avg"
"TS","RN","meters/second","Deg","Deg","meters/second","Deg C","Deg C","%","%","W/m^2","W/m^2","W/m^2","W/m^2","MJ/m^2","mm","Deg C","Deg C",""
"","","WVc","WVc","WVc","Max","Min","Max","Min","Max","Max","Std","Max","Std","Tot","Tot","Min","Avg","Avg"
"2021-03-10 00:00:00",271,1.113,18.88,44.74,5.075,22.51,31.55,68.78,100,1318,306.2,53.8,14.19,0.863,0,22.38,28.22,0.034
"2021-03-11 00:00:00",272,1.523,3.038,32.59,5.675,24.34,39.12,37.77,97.8,957,361.5,46.72,16.91,1.137,0,23.8,30.69,0.032
"2021-03-12 00:00:00",273,1.227,126.5,78.66,5.225,21.74,39.09,33.23,99.3,989,359.9,48.85,17.2,1.151,0,22.08,29.3,0.031
"2021-03-13 00:00:00",274,0.988,162.3,57.65,4.025,21.44,31.43,66.64,100,1326,305.9,56.74,15.11,0.859,14.22,21.93,26.44,0.062
"2021-03-14 00:00:00",275,0.917,33.17,35.64,5.45,20.94,31.53,61,100,1246,368.4,56.03,17.67,1.177,0,21.41,27.33,0.068
"2021-03-15 00:00:00",276,0.935,42.05,40.55,5.225,20.82,31.74,50.94,100,1102,373.9,51.99,18.03,1.169,0,21.54,27.52,0.061
"2021-03-16 00:00:00",277,0.912,35.94,44.13,5.075,19.3,32,43.34,100,1048,366.5,50.77,18,1.213,0,20.29,27.65,0.054
"2021-03-17 00:00:00",278,0.925,28.53,38.94,5.375,19.87,33.24,52.07,100,1109,363.9,52.69,17.2,1.128,0,21.17,28.22,0.047
"2021-03-18 00:00:00",279,0.901,8.22,44.16,5.9,21.21,33.33,55.81,100,1114,309.6,49.96,14.31,0.893,8.13,22.78,27.84,0.043
"2021-03-19 00:00:00",280,0.34,163,47.35,3.5,21.33,31.1,61.84,100,1230,270.4,51.78,13.14,0.786,0.254,22.58,26.35,0.064
"2021-03-20 00:00:00",281,0.697,153.9,63.59,4.25,21.9,32.79,54.74,100,1107,325.3,48.95,15.35,1.004,0,22.37,27.39,0.06
"2021-03-21 00:00:00",282,0.778,98.1,57.33,4.55,21.95,30.93,62.22,99.6,1243,323.6,54.01,15.46,0.981,1.016,22.78,27.02,0.054
"2021-03-22 00:00:00",283,0.974,194,53.27,6.05,21.97,29.25,69.91,100,1107,214.1,47.74,11.21,0.698,2.54,22.31,24.81,0.05
"2021-03-23 00:00:00",284,1.159,181.5,45.06,5.15,19.44,28.4,62.95,95.3,1269,283.7,58.26,14.01,0.914,0,19.76,23.9,0.048
"2021-03-24 00:00:00",285,0.908,171.9,45.73,4.625,17.99,29.17,47.32,96.9,1106,355.4,51.98,17.11,1.124,0,18.26,23.88,0.043
"2021-03-25 00:00:00",286,0.757,159.2,50.1,4.325,19.07,29.61,48.91,97.5,1131,334.1,53.8,16.08,0.996,0,19.31,24.21,0.039
"2021-03-26 00:00:00",287,0.791,97.6,65.53,4.775,19.56,28.15,59.89,99.4,1439,161.1,61.49,8.95,0.499,16.51,20.37,23.27,0.041
"2021-03-27 00:00:00",288,0.686,15.42,61.4,5,18.98,29.2,64.99,100,1201,250.6,52.59,12.01,0.743,17.53,19.94,23.89,0.086
"2021-03-28 00:00:00",289,0.911,184.6,42.08,4.325,18.53,29.83,64.38,99.5,1216,331.7,53.2,16.07,1.031,1.27,18.93,24.27,0.072
"2021-03-29 00:00:00",290,1.403,185.4,46.61,6.125,17.73,28.56,55.2,96.8,1129,338.1,53.2,16.39,1.03,0,17.87,22.67,0.067
"2021-03-30 00:00:00",291,0.814,157.2,61.04,3.95,16.75,28.73,56.08,97.4,1171,304,52.29,14.43,0.927,0,17.07,22.8,0.063
"2021-03-31 00:00:00",292,0.487,18.54,32.06,4.25,17.41,28.36,57.82,98.5,1137,207.5,47.33,9.89,0.644,0,18.36,23.5,0.06
