"TOA5","Science Centre AWS","CR1000","88296","CR1000.Std.31.08","CPU:Vasi_Science Centre AWS.CR1","64103","Hourly"
"TIMESTAMP","RECORD","BattV_Min","BP_kPa","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","AirTC_Avg","RH","SlrW_Avg","CUV5_W_Avg","Rain_mm_Tot","T107_C_Min","T107_C_Avg","VW_Avg"
"TS","RN","Volts","kPa","meters/second","Deg","Deg","Deg C","%","W/m^2","W/m^2","mm","Deg C","Deg C",""
"","","Min","Smp","WVc","WVc","WVc","Avg","Smp","Avg","Avg","Tot","Min","Avg","Avg"
"2022-11-07 15:00:00",21098,13.33,100.792,2.439,48.78,29.09,27.14,68.09,733.7,35.57,0,32.03,33.77,0.075
"2022-11-07 16:00:00",21099,13.23,100.7758,2.36,51.38,28.68,26.39,72.84,460.7,22.56,0,29.62,31.24,0.075
"2022-11-07 17:00:00",21100,12.97,100.7352,2.373,49.36,25.59,25.59,79.07,261.9,12.15,0,26.26,28.24,0.075
"2022-11-07 18:00:00",21101,12.93,100.7514,2.1,40.74,25.68,24.03,86.4,39.43,3.466,0,24.62,25.33,0.075
"2022-11-07 19:00:00",21102,12.9,100.7982,1.219,35.66,18.49,23.05,92,0.622,0.122,0,23.81,24.14,0.074
"2022-11-07 20:00:00",21103,12.87,100.8653,0.87,31.37,16.36,22.58,94.1,0,0,0,23.37,23.54,0.074
"2022-11-07 21:00:00",21104,12.85,100.8893,0.589,29.18,11.62,22.47,96.1,0,0,0,23.24,23.36,0.074
"2022-11-07 22:00:00",21105,12.86,100.922,0.084,22.84,5.745,22.2,97.8,0,0,0,23.01,23.21,0.073
"2022-11-07 23:00:00",21106,12.85,100.9139,0.109,352.2,1.746,22.16,98.7,0,0,0,22.85,22.97,0.073
"2022-11-08 00:00:00",21107,12.83,100.8719,0.19,353.6,8.84,22.31,99,0,0,0,22.98,23.19,0.073
"2022-11-08 01:00:00",21108,12.82,100.8153,0.568,357.8,17.92,22.66,99,0,0,0,23.32,23.46,0.073
"2022-11-08 02:00:00",21109,12.81,100.7652,0.695,17.04,12.81,22.96,98.6,0,0,0,23.46,23.55,0.073
"2022-11-08 03:00:00",21110,12.78,100.7487,0.414,14.57,10.33,23.14,98.9,0,0,0,23.58,23.68,0.073
"2022-11-08 04:00:00",21111,12.75,100.7229,0.171,12.13,6.216,23.04,99.3,0,0,0,23.69,23.74,0.073
"2022-11-08 05:00:00",21112,12.74,100.7386,0.448,18.29,9.18,23.08,99.4,0.555,0.024,0,23.61,23.69,0.072
"2022-11-08 06:00:00",21113,12.72,100.744,0.641,18.15,11.98,23.4,98.6,43.6,2.128,0,23.65,23.92,0.073
"2022-11-08 07:00:00",21114,12.74,100.7839,1.162,23.96,17.71,24.26,93.9,96.2,5.389,0,24.28,24.73,0.072
"2022-11-08 08:00:00",21115,13.05,100.8083,1.915,19.91,24.99,25.74,88.2,259.4,13.79,0,25.84,26.97,0.072
"2022-11-08 09:00:00",21116,13.21,100.7839,1.807,4.785,27.36,26.99,75.34,420.8,21.68,0,27.01,28.39,0.072
